Code,Entity (Kurdish),English Ministry,Analyst,Analyst Kurdish
MOTAC,وەزارەتی گواستنەوە و گەیاندن,Ministry of Transport and Communication,Helen,هيلين
MOMT,وەزارەتی شارەوانی و گەشت و گوزار,Ministry of Municipalities and Tourism,Namiq,نامیق
BOI,دەستەی وەبەرهێنان,Board of Investment,Awara,ئاواره
MOEL,وەزارەتی کارەبا,Ministry of Electricity,Nawroz,نەورۆز
MOHE,وەزارەتی خوێندنی باڵا و توێژینەوەی زانستی,Ministry of Higher Education,Begard,بێگەرد
MOLSA,وەزارەتی کار و کاروباری کۆمەڵایەتی,Ministry of Labour and Social Affairs,Awara,ئاواره
MOFE,وەزارەتی دارایی و ئابوری,Ministry of Finance and Economy,Rekan,ريكان
MOI,وەزارەتی ناوخۆ,Ministry of Interior,Sangar,سەنگەر
MOJ,وەزارەتی داد,Ministry of Justice,Helen,هيلين
KAGB,دەستەی گشتی ناوچە کوردستانیەکانی دەرەوەی هەرێم,Kurdistani Areas General Board,Awara,ئاواره
MOTI,وەزارەتی بازرگانی و پیشەسازی,Ministry of Trade and Industry,Arez,ئارێز
MOP,وەزارەتی پلاندانان,Ministry of Planning,Musleh,موسلیح
MNR,وەزارەتی سامانە سروشتیەکان,Ministry of Natural Resources,Musleh,موسلیح
MOE,وەزارەتی پەروەردە,Ministry of Education,Resa,ريسا
MOAWR,وەزارەتی کشتوکاڵ و سەرچاوەکانی ئاو,Ministry of Agriculture and Water Resources,Awara,ئاواره
MOMA,وەزارەتی کاروباری شەهیدان و ئەنفالکراوان,Ministry of Martyrs and Anfal Affairs,Musleh,موسلیح
MOH,وەزارەتی تەندروستی,Ministry of Health,Ihsan,احسان
MOHR,وەزارەتی ئاوەدانکردنەوە و نیشتەجێکردن,Ministry of Housing and Reconstruction,Tarin,تارین
COM,سەرۆکایەتی ئەنجومەنی وەزیران,Council of Ministers,Ihsan,احسان
MOPA,وەزارەتی پێشمەرگە,Ministry of Peshmerga Affairs,Nisha',نیشا
BOE,دەستەی پاراستن و چاککردنی ژینگە,Board of Environment,Awara,ئاواره
MOERA,وەزارەتی ئەوقاف و کاروباری ئایینی,Ministry of Endownment and Religious Affairs,Resa,ريسا
MAA,دەزگاى گشتى کاروبارى مین,Mine Action Agency,Awara,ئاواره
MOCY,وەزارەتی رۆشنبیری و لاوان,Ministry of Culture and Youth,Sara,سارا
KPP,سەرۆکایەتی پەڕلەمانی هەرێمی کوردستان,Kurdistan Parliment Presidency,Ihsan,احسان
KP,سەرۆکایەتی هەرێمی کوردستان,Kurdistan Presidency,Ihsan,احسان
HCWA,ئەنجومەنی باڵای خانمان,High Council for Women & Development,Awara,ئاواره
KHEC,کۆمسیۆنی باڵای سەربەخۆی هەڵبژاردنەکان,Kurdistan High Elections Commission,Ihsan,احسان
JC,دەستەی دادوەری,Judicial Court,Helen,هيلين
KRSA,دەزگای ئاسایشی هەرێمی کوردستان,Kurdistan Region Security Agency,Awara,ئاواره
KSAB,چاودێری دارایی,Kurdistan Supreme Audit Board,Awara,ئاواره
DFR,فەرمانگەی پەیوەندییەکانی دەرەوە,Department of Foreign Relations,Awara,ئاواره
KA,ئەکادمییای کوردی,Kurdish Academy,Awara,ئاواره
HRB,دەستەی مافی مرۆڤ,Human Rights Board,Awara,ئاواره
